dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots
2026-01-06	2026-01	PFE	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-06	2026-01	PSX	open	true	true	true	true	406	390	406	295	295	295	0	95	95	0	95	0
2026-01-06	2026-01	SCHW	open	true	true	true	true	406	390	406	363	363	363	0	27	27	0	27	0
2026-01-06	2026-01	SPGI	open	true	true	true	true	406	390	406	157	157	157	0	233	233	0	233	0
2026-01-06	2026-01	V	open	true	true	true	true	406	390	406	382	382	382	0	8	8	0	8	0
2026-01-07	2026-01	ABNB	open	true	true	true	true	406	390	406	356	356	356	0	34	34	0	34	0
2026-01-07	2026-01	AXP	open	true	true	true	true	406	390	406	363	363	363	0	27	27	0	27	0
2026-01-07	2026-01	CL	open	true	true	true	true	406	390	406	259	259	259	0	131	131	0	131	0
2026-01-07	2026-01	CMG	open	true	true	true	true	406	390	406	378	378	378	0	12	12	0	12	0
2026-01-07	2026-01	CVS	open	true	true	true	true	406	390	406	373	373	373	0	17	17	0	17	0
2026-01-07	2026-01	ETN	open	true	true	true	true	406	390	406	283	283	283	0	107	107	0	107	0
2026-01-07	2026-01	HAL	open	true	true	true	true	406	390	406	382	382	382	0	8	8	0	8	0
2026-01-07	2026-01	JNJ	open	true	true	true	true	406	390	406	382	382	382	0	8	8	0	8	0
2026-01-07	2026-01	LOW	open	true	true	true	true	406	390	406	312	312	312	0	78	78	0	78	0
2026-01-07	2026-01	MO	open	true	true	true	true	406	390	406	369	369	369	0	21	21	0	21	0
2026-01-07	2026-01	NOC	open	true	true	true	true	406	390	406	182	182	182	0	208	208	0	208	0
2026-01-07	2026-01	ORCL	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
2026-01-07	2026-01	PG	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2026-01-07	2026-01	RBLX	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-07	2026-01	SHOP	open	true	true	true	true	406	390	406	377	377	377	0	13	13	0	13	0
2026-01-07	2026-01	TFC	open	true	true	true	true	406	390	406	95	95	95	0	295	295	0	295	0
2026-01-07	2026-01	V	open	true	true	true	true	406	390	406	377	377	377	0	13	13	0	13	0
2026-01-08	2026-01	ABNB	open	true	true	true	true	406	390	406	308	308	308	0	82	82	0	82	0
2026-01-08	2026-01	AXP	open	true	true	true	true	406	390	406	361	361	361	0	29	29	0	29	0
2026-01-08	2026-01	CL	open	true	true	true	true	406	390	406	351	351	351	0	39	39	0	39	0
2026-01-08	2026-01	DE	open	true	true	true	true	406	390	406	376	376	376	0	14	14	0	14	0
2026-01-08	2026-01	GILD	open	true	true	true	true	406	390	406	312	312	312	0	78	78	0	78	0
2026-01-08	2026-01	ICE	open	true	true	true	true	406	390	406	52	52	52	0	338	338	0	338	0
2026-01-08	2026-01	KO	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-08	2026-01	MMM	open	true	true	true	true	406	390	406	268	268	268	0	122	122	0	122	0
2026-01-08	2026-01	MS	open	true	true	true	true	406	390	406	369	369	369	0	21	21	0	21	0
2026-01-08	2026-01	PG	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2026-01-08	2026-01	RF	open	true	true	true	true	406	390	406	175	175	175	0	215	215	0	215	0
2026-01-08	2026-01	SLB	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
2026-01-08	2026-01	TGT	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
2026-01-08	2026-01	VLO	open	true	true	true	true	406	390	406	377	377	377	0	13	13	0	13	0
2026-01-09	2026-01	AFRM	open	true	true	true	true	406	390	406	384	384	384	0	6	6	0	6	0
2026-01-09	2026-01	BLK	open	true	true	true	true	406	390	406	246	246	246	0	144	144	0	144	0
