dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-05	2025-12	V	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	VLO	open	true	true	true	true	406	390	390	406	286	286	16	0	104	0
2025-12-05	2025-12	WFC	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-05	2025-12	XOM	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	ABBV	open	true	true	true	true	406	390	390	406	371	371	16	0	19	0
2025-12-08	2025-12	ABNB	open	true	true	true	true	406	390	390	406	350	350	16	0	40	0
2025-12-08	2025-12	AFRM	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-08	2025-12	ALLY	open	true	true	true	true	406	390	390	406	172	172	16	0	218	0
2025-12-08	2025-12	AMGN	open	true	true	true	true	406	390	390	406	367	367	16	0	23	0
2025-12-08	2025-12	AXP	open	true	true	true	true	406	390	390	406	375	375	16	0	15	0
2025-12-08	2025-12	BAC	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-08	2025-12	BLK	open	true	true	true	true	406	390	390	406	182	182	16	0	208	0
2025-12-08	2025-12	BMY	open	true	true	true	true	406	390	390	406	378	378	16	0	12	0
2025-12-08	2025-12	C	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-08	2025-12	CAT	open	true	true	true	true	406	390	390	406	386	386	16	0	4	0
2025-12-08	2025-12	CL	open	true	true	true	true	406	390	390	406	286	286	16	0	104	0
2025-12-08	2025-12	CME	open	true	true	true	true	406	390	370	406	143	143	36	0	247	0
2025-12-08	2025-12	CMG	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	COP	open	true	true	true	true	406	390	390	406	325	325	16	0	65	0
2025-12-08	2025-12	CSCO	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	CVS	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-08	2025-12	CVX	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
