dayIso	month	symbol	type	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-04	2025-12	SPGI	open	406	390	406	140	140	140	0	250	250	0
2025-12-04	2025-12	TFC	open	406	390	406	187	187	187	0	203	203	0
2025-12-04	2025-12	TGT	open	406	390	406	387	387	387	0	3	3	0
2025-12-04	2025-12	USB	open	406	390	406	296	296	296	0	94	94	0
2025-12-04	2025-12	V	open	406	390	406	389	389	389	0	1	1	0
2025-12-04	2025-12	VLO	open	406	390	406	289	289	289	0	101	101	0
2025-12-04	2025-12	WFC	open	406	390	406	379	379	379	0	11	11	0
2025-12-05	2025-12	ABBV	open	406	390	406	373	373	373	0	17	17	0
2025-12-05	2025-12	ABNB	open	406	390	406	380	380	380	0	10	10	0
2025-12-05	2025-12	AFRM	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	ALLY	open	406	390	406	201	201	201	0	189	189	0
2025-12-05	2025-12	AMGN	open	406	390	406	381	381	381	0	9	9	0
2025-12-05	2025-12	AXP	open	406	390	406	363	363	363	0	27	27	0
2025-12-05	2025-12	BLK	open	406	390	406	241	241	241	0	149	149	0
2025-12-05	2025-12	BMY	open	406	390	406	387	387	387	0	3	3	0
2025-12-05	2025-12	C	open	406	390	406	388	388	388	0	2	2	0
2025-12-05	2025-12	CAT	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	CL	open	406	390	406	235	235	235	0	155	155	0
2025-12-05	2025-12	CME	open	406	390	406	182	182	182	0	208	208	0
2025-12-05	2025-12	CMG	open	406	390	406	388	388	388	0	2	2	0
2025-12-05	2025-12	COP	open	406	390	406	377	377	377	0	13	13	0
2025-12-05	2025-12	CSCO	open	406	390	406	386	386	386	0	4	4	0
2025-12-05	2025-12	CVS	open	406	390	406	382	382	382	0	8	8	0
2025-12-05	2025-12	CVX	open	406	390	406	386	386	386	0	4	4	0
2025-12-05	2025-12	DE	open	406	390	406	322	322	322	0	68	68	0
2025-12-05	2025-12	DIS	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	EOG	open	406	390	406	286	286	286	0	104	104	0
2025-12-05	2025-12	ETN	open	406	390	406	227	227	227	0	163	163	0
2025-12-05	2025-12	GE	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	GILD	open	406	390	406	338	338	338	0	52	52	0
2025-12-05	2025-12	GIS	open	406	390	406	251	251	251	0	139	139	0
2025-12-05	2025-12	HAL	open	406	390	406	364	364	364	0	26	26	0
2025-12-05	2025-12	HD	open	406	390	406	388	388	388	0	2	2	0
2025-12-05	2025-12	HON	open	406	390	406	275	275	275	0	115	115	0
2025-12-05	2025-12	ICE	open	406	390	406	57	57	57	0	333	333	0
2025-12-05	2025-12	JNJ	open	406	390	406	381	381	381	0	9	9	0
2025-12-05	2025-12	KEY	open	406	390	406	259	259	259	0	131	131	0
2025-12-05	2025-12	KHC	open	406	390	406	355	355	355	0	35	35	0
2025-12-05	2025-12	KO	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	LMT	open	406	390	406	365	365	365	0	25	25	0
2025-12-05	2025-12	LOW	open	406	390	406	289	289	289	0	101	101	0
2025-12-05	2025-12	MA	open	406	390	406	373	373	373	0	17	17	0
2025-12-05	2025-12	MCD	open	406	390	406	380	380	380	0	10	10	0
2025-12-05	2025-12	MMM	open	406	390	406	355	355	355	0	35	35	0
2025-12-05	2025-12	MO	open	406	390	406	373	373	373	0	17	17	0
2025-12-05	2025-12	MPC	open	406	390	406	87	87	87	0	303	303	0
2025-12-05	2025-12	MRK	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	MS	open	406	390	406	373	373	373	0	17	17	0
2025-12-05	2025-12	NOC	open	406	390	406	111	111	111	0	279	279	0
2025-12-05	2025-12	NOW	open	406	390	406	362	362	362	0	28	28	0
2025-12-05	2025-12	ORCL	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	OXY	open	406	390	406	385	385	385	0	5	5	0
2025-12-05	2025-12	PEP	open	406	390	406	383	383	383	0	7	7	0
2025-12-05	2025-12	PFE	open	406	390	406	387	387	387	0	3	3	0
2025-12-05	2025-12	PG	open	406	390	406	387	387	387	0	3	3	0
2025-12-05	2025-12	PM	open	406	390	406	333	333	333	0	57	57	0
2025-12-05	2025-12	PNC	open	406	390	406	284	284	284	0	106	106	0
2025-12-05	2025-12	PSX	open	406	390	406	289	289	289	0	101	101	0
2025-12-05	2025-12	QCOM	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	RBLX	open	406	390	406	384	384	384	0	6	6	0
2025-12-05	2025-12	RF	open	406	390	406	87	87	87	0	303	303	0
2025-12-05	2025-12	RTX	open	406	390	406	329	329	329	0	61	61	0
2025-12-05	2025-12	SBUX	open	406	390	406	387	387	387	0	3	3	0
2025-12-05	2025-12	SCHW	open	406	390	406	345	345	345	0	45	45	0
2025-12-05	2025-12	SHOP	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	SLB	open	406	390	406	378	378	378	0	12	12	0
2025-12-05	2025-12	SPGI	open	406	390	406	143	143	143	0	247	247	0
2025-12-05	2025-12	TFC	open	406	390	406	134	134	134	0	256	256	0
2025-12-05	2025-12	UBER	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	UPST	open	406	390	406	389	389	389	0	1	1	0
2025-12-05	2025-12	USB	open	406	390	406	267	267	267	0	123	123	0
2025-12-05	2025-12	V	open	406	390	406	389	389	389	0	1	1	0
