dayIso	month	symbol	type	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-11-05	2025-11	ALLY	open	406	406	406	123	123	0	0	283	0
2025-11-05	2025-11	AMD	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	AMGN	open	406	406	406	388	388	0	0	18	0
2025-11-05	2025-11	AMZN	open	406	406	406	391	391	0	0	15	0
2025-11-05	2025-11	AVGO	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	AXP	open	406	406	406	349	349	0	0	57	0
2025-11-05	2025-11	BA	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	BAC	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	BLK	open	406	406	406	242	242	0	0	164	0
2025-11-05	2025-11	BMY	open	406	406	406	385	385	0	0	21	0
2025-11-05	2025-11	C	open	406	406	406	385	385	0	0	21	0
2025-11-05	2025-11	CAT	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	CL	open	406	406	406	244	244	0	0	162	0
2025-11-05	2025-11	CME	open	406	406	406	139	139	0	0	267	0
2025-11-05	2025-11	CMG	open	406	406	406	387	387	0	0	19	0
2025-11-05	2025-11	COIN	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	COP	open	406	406	406	354	354	0	0	52	0
2025-11-05	2025-11	COST	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	CRM	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	CSCO	open	406	406	406	384	384	0	0	22	0
2025-11-05	2025-11	CVS	open	406	406	406	353	353	0	0	53	0
2025-11-05	2025-11	CVX	open	406	406	406	379	379	0	0	27	0
2025-11-05	2025-11	DE	open	406	406	406	271	271	0	0	135	0
2025-11-05	2025-11	DIS	open	406	406	406	387	387	0	0	19	0
2025-11-05	2025-11	EOG	open	406	406	406	178	178	0	0	228	0
2025-11-05	2025-11	ETN	open	406	406	406	319	319	0	0	87	0
2025-11-05	2025-11	GE	open	406	406	406	360	360	0	0	46	0
2025-11-05	2025-11	GILD	open	406	406	406	313	313	0	0	93	0
2025-11-05	2025-11	GIS	open	406	406	406	250	250	0	0	156	0
2025-11-05	2025-11	GOOGL	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	GS	open	406	406	406	388	388	0	0	18	0
2025-11-05	2025-11	HAL	open	406	406	406	320	320	0	0	86	0
2025-11-05	2025-11	HD	open	406	406	406	389	389	0	0	17	0
2025-11-05	2025-11	HON	open	406	406	406	261	261	0	0	145	0
2025-11-05	2025-11	HOOD	open	406	406	406	391	391	0	0	15	0
2025-11-05	2025-11	ICE	open	406	406	406	136	136	0	0	270	0
2025-11-05	2025-11	INTC	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	JNJ	open	406	406	406	360	360	0	0	46	0
2025-11-05	2025-11	JPM	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	KEY	open	406	406	406	153	153	0	0	253	0
2025-11-05	2025-11	KHC	open	406	406	406	310	310	0	0	96	0
2025-11-05	2025-11	KO	open	406	406	406	386	386	0	0	20	0
2025-11-05	2025-11	LLY	open	406	406	406	389	389	0	0	17	0
2025-11-05	2025-11	LMT	open	406	406	406	364	364	0	0	42	0
2025-11-05	2025-11	LOW	open	406	406	406	325	325	0	0	81	0
2025-11-05	2025-11	MA	open	406	406	406	336	336	0	0	70	0
2025-11-05	2025-11	MCD	open	406	406	406	388	388	0	0	18	0
2025-11-05	2025-11	META	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	MMM	open	406	406	406	299	299	0	0	107	0
2025-11-05	2025-11	MO	open	406	406	406	348	348	0	0	58	0
2025-11-05	2025-11	MPC	open	406	406	406	147	147	0	0	259	0
2025-11-05	2025-11	MRK	open	406	406	406	376	376	0	0	30	0
2025-11-05	2025-11	MS	open	406	406	406	332	332	0	0	74	0
2025-11-05	2025-11	MSFT	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	MU	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	NFLX	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	NKE	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	NOC	open	406	406	406	87	87	0	0	319	0
2025-11-05	2025-11	NOW	open	406	406	406	371	371	0	0	35	0
2025-11-05	2025-11	NVDA	open	406	406	406	391	391	0	0	15	0
2025-11-05	2025-11	ORCL	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	OXY	open	406	406	406	378	378	0	0	28	0
2025-11-05	2025-11	PEP	open	406	406	406	373	373	0	0	33	0
2025-11-05	2025-11	PFE	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	PG	open	406	406	406	377	377	0	0	29	0
2025-11-05	2025-11	PLTR	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	PM	open	406	406	406	310	310	0	0	96	0
2025-11-05	2025-11	PNC	open	406	406	406	235	235	0	0	171	0
2025-11-05	2025-11	PSX	open	406	406	406	174	174	0	0	232	0
2025-11-05	2025-11	PYPL	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	QCOM	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	QQQ	open	406	406	406	405	405	0	0	1	0
2025-11-05	2025-11	RBLX	open	406	406	406	382	382	0	0	24	0
2025-11-05	2025-11	RF	open	406	406	406	66	66	0	0	340	0
2025-11-05	2025-11	RTX	open	406	406	406	302	302	0	0	104	0
2025-11-05	2025-11	SBUX	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	SCHW	open	406	406	406	302	302	0	0	104	0
2025-11-05	2025-11	SHOP	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	SLB	open	406	406	406	349	349	0	0	57	0
2025-11-05	2025-11	SNOW	open	406	406	406	384	384	0	0	22	0
2025-11-05	2025-11	SOFI	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	SPGI	open	406	406	406	102	102	0	0	304	0
2025-11-05	2025-11	TFC	open	406	406	406	118	118	0	0	288	0
2025-11-05	2025-11	TGT	open	406	406	406	389	389	0	0	17	0
2025-11-05	2025-11	TSLA	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	UBER	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	UNH	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	UPST	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	USB	open	406	406	406	246	246	0	0	160	0
2025-11-05	2025-11	V	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	VLO	open	406	406	406	250	250	0	0	156	0
2025-11-05	2025-11	WFC	open	406	406	406	383	383	0	0	23	0
2025-11-05	2025-11	WMT	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	XOM	open	406	406	406	384	384	0	0	22	0
2025-11-06	2025-11	AAPL	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	ABBV	open	406	406	406	355	355	0	0	51	0
2025-11-06	2025-11	ABNB	open	406	406	406	391	391	0	0	15	0
2025-11-06	2025-11	ADBE	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	AFRM	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	ALLY	open	406	406	406	129	129	0	0	277	0
2025-11-06	2025-11	AMD	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	AMGN	open	406	406	406	368	368	0	0	38	0
2025-11-06	2025-11	AMZN	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	AVGO	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	AXP	open	406	406	406	358	358	0	0	48	0
2025-11-06	2025-11	BA	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	BAC	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	BLK	open	406	406	406	154	154	0	0	252	0
2025-11-06	2025-11	BMY	open	406	406	406	380	380	0	0	26	0
2025-11-06	2025-11	C	open	406	406	406	387	387	0	0	19	0
2025-11-06	2025-11	CAT	open	406	406	406	385	385	0	0	21	0
2025-11-06	2025-11	CL	open	406	406	406	222	222	0	0	184	0
2025-11-06	2025-11	CME	open	406	406	406	138	138	0	0	268	0
2025-11-06	2025-11	CMG	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	COIN	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	COP	open	406	406	406	369	369	0	0	37	0
2025-11-06	2025-11	COST	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	CRM	open	406	406	406	390	390	0	0	16	0
2025-11-06	2025-11	CSCO	open	406	406	406	383	383	0	0	23	0
2025-11-06	2025-11	CVS	open	406	406	406	369	369	0	0	37	0
2025-11-06	2025-11	CVX	open	406	406	406	380	380	0	0	26	0
