symbol	month	scope_symbol_days	expected_1m_slots_calendar	early_close_days_in_scope	full_close_days_in_scope	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
WFC	2025-12-01	21	8526	0	0	7976	93.55	7976	93.55	8526	100	7976	93.55	100	134577	59335	8526	115454
WMT	2025-12-01	21	8526	0	0	8192	96.08	8192	96.08	8526	100	8192	96.08	100	309217	156217	8526	293091
XOM	2025-12-01	21	8526	0	0	8162	95.73	8162	95.73	8526	100	8162	95.73	100	245603	122662	8526	209212
AAPL	2026-01-01	20	8120	0	0	7802	96.08	7802	96.08	8120	100	7802	96.08	100	2671843	746417	8120	335574
ABBV	2026-01-01	20	8120	0	0	7518	92.59	7518	92.59	8120	100	7518	92.59	100	74550	45256	8120	9654
ABNB	2026-01-01	20	8120	0	0	6780	83.5	6780	83.5	8120	100	6780	83.5	100	47529	27971	8120	12890
ADBE	2026-01-01	20	8120	0	0	7796	96.01	7796	96.01	8120	100	7796	96.01	100	272201	158801	8120	15880
AFRM	2026-01-01	20	8120	0	0	7714	95	7714	95	8120	100	7714	95	100	111391	69746	8120	18154
ALLY	2026-01-01	20	8120	0	0	3652	44.98	3652	44.98	8120	100	3652	44.98	100	10824	6399	8120	4367
AMD	2026-01-01	20	8120	0	0	7802	96.08	7802	96.08	8120	100	7802	96.08	100	2508705	722184	8120	343688
AMGN	2026-01-01	20	8120	0	0	7482	92.14	7482	92.14	8120	100	7482	92.14	100	79616	34198	8120	20368
AMZN	2026-01-01	20	8120	0	0	7801	96.07	7801	96.07	8120	100	7801	96.07	100	2222024	718251	8120	445315
AVGO	2026-01-01	20	8120	0	0	7803	96.1	7803	96.1	8120	100	7803	96.1	100	1209622	561202	8120	143382
AXP	2026-01-01	20	8120	0	0	7432	91.53	7432	91.53	8120	100	7432	91.53	100	90106	55114	8120	10047
BA	2026-01-01	20	8120	0	0	7800	96.06	7800	96.06	8120	100	7800	96.06	100	456422	218438	8120	45054
BAC	2026-01-01	20	8120	0	0	7800	96.06	7800	96.06	8120	100	7800	96.06	100	309519	136161	8120	48882
BLK	2026-01-01	20	8120	0	0	5430	66.87	5430	66.87	8120	100	5430	66.87	100	21926	15925	8120	6483
BMY	2026-01-01	20	8120	0	0	7489	92.23	7489	92.23	8120	100	7489	92.23	100	65963	39620	8120	14408
C	2026-01-01	20	8120	0	0	7730	95.2	7730	95.2	8120	100	7730	95.2	100	232537	106108	8120	16509
CAT	2026-01-01	20	8120	0	0	7779	95.8	7779	95.8	8120	100	7779	95.8	100	196438	106769	8120	54250
CL	2026-01-01	20	8120	0	0	5286	65.1	5286	65.1	8120	100	5286	65.1	100	18802	12732	8120	7142
CME	2026-01-01	20	8120	0	0	3559	43.83	3559	43.83	8120	100	3559	43.83	100	13501	6346	8120	3883
CMG	2026-01-01	20	8120	0	0	7706	94.9	7706	94.9	8120	100	7706	94.9	100	113548	68630	8120	23993
