s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-07	AXP	406	406	406	370	370
2025-11-07	BA	406	406	406	390	390
2025-11-07	BAC	406	406	406	390	390
2025-11-07	BLK	406	406	406	266	266
2025-11-07	BMY	406	406	406	383	383
2025-11-07	C	406	406	406	390	390
2025-11-07	CAT	406	406	406	387	387
2025-11-07	CL	406	406	406	302	302
2025-11-07	CME	406	406	406	260	260
2025-11-07	CMG	406	406	406	389	389
2025-11-07	COIN	406	406	406	390	390
2025-11-07	COP	406	406	406	364	364
2025-11-07	COST	406	406	406	390	390
2025-11-07	CRM	406	406	406	390	390
2025-11-07	CSCO	406	406	406	388	388
2025-11-07	CVS	406	406	406	366	366
2025-11-07	CVX	406	406	406	387	387
2025-11-07	DE	406	406	406	309	309
2025-11-07	DIS	406	406	406	390	390
2025-11-07	EOG	406	406	406	350	350
2025-11-07	ETN	406	406	406	282	282
2025-11-07	GE	406	406	406	382	382
2025-11-07	GILD	406	406	406	353	353
2025-11-07	GIS	406	406	406	243	243
2025-11-07	GOOGL	406	406	406	390	390
2025-11-07	GS	406	406	406	390	390
2025-11-07	HAL	406	406	406	354	354
2025-11-07	HD	406	406	406	386	386
2025-11-07	HON	406	406	406	254	254
2025-11-07	HOOD	406	406	406	390	390
2025-11-07	ICE	406	406	406	122	122
2025-11-07	INTC	406	406	406	390	390
2025-11-07	JNJ	406	406	406	382	382
2025-11-07	JPM	406	406	406	390	390
2025-11-07	KEY	406	406	406	203	203
2025-11-07	KHC	406	406	406	344	344
2025-11-07	KO	406	406	406	390	390
2025-11-07	LLY	406	406	406	390	390
2025-11-07	LMT	406	406	406	372	372
2025-11-07	LOW	406	406	406	317	317
2025-11-07	MA	406	406	406	367	367
2025-11-07	MCD	406	406	406	383	383
2025-11-07	META	406	406	406	391	391
2025-11-07	MMM	406	406	406	311	311
2025-11-07	MO	406	406	406	386	386
2025-11-07	MPC	406	406	406	148	148
2025-11-07	MRK	406	406	406	387	387
2025-11-07	MS	406	406	406	369	369
2025-11-07	MSFT	406	406	406	390	390
2025-11-07	MU	406	406	406	390	390
2025-11-07	NFLX	406	406	406	390	390
2025-11-07	NKE	406	406	406	390	390
2025-11-07	NOC	406	406	406	117	117
2025-11-07	NOW	406	406	406	384	384
