ticker,start,end,days,price_return_pct,total_distributions,distribution_return_pct,total_return_reinvested_pct,sharpe,sortino,calmar,cagr_pct,max_drawdown_pct,vol_ann_pct,SPY_total_return_reinvested_pct,SPY_sharpe,SPY_sortino,SPY_calmar,QQQ_total_return_reinvested_pct,QQQ_sharpe,QQQ_sortino,QQQ_calmar
XYZY,2023-10-11,2026-03-13,884,-73.61826419333019,105.50299999999999,104.4998028493703,9.259817817510951,0.3035563024788089,0.35844130679219544,0.07134048063118356,3.7311149124964027,-52.30010899121276,42.90721040469331,56.173005686857614,1.2576887026438996,1.6285860492991242,1.0796890173499463,62.11212383539555,1.0968499902616895,1.4679913565929712,0.9715591767228512
RNTY,2025-04-17,2026-03-13,330,-1.3517233227324899,5.064,9.956548227370687,9.079818617761992,0.9691063831221121,1.3653999454087655,2.488611926142878,10.227203005244046,-4.109601379711814,10.577241167433469,26.908253675715965,2.1973045461268716,3.154757512218459,6.034293606673165,34.168545346586264,2.1123391669287086,3.07645357836121,4.949302216296701
QDTY,2025-02-13,2026-03-13,392,-23.361529991443163,14.350000000000001,28.355199801244996,6.716446578732249,0.3582555477731486,0.39400079007364186,0.26673128512757316,6.260567172413856,-23.471439315487608,27.138852483376446,9.895737910992718,0.557430858608387,0.7188009777588859,0.4913254290598438,11.351196290334077,0.5503993590574566,0.7312567717779036,0.4640447462792126
SDTY,2025-02-06,2026-03-13,399,-18.962018541446092,11.989,23.839729134501418,6.141501177465969,0.40017557997844366,0.44769428104772835,0.3017323955307151,5.622203314397356,-18.633078176801334,17.45107462288909,10.513813260383698,0.5784234317835323,0.7467553500830718,0.5123068056758571,12.675799875897443,0.5914311193912876,0.7868850975174786,0.5083687141760077
NVIT,2025-11-18,2026-03-13,114,-3.1564196309598613,3.5349999999999997,7.177373667775891,4.073214228936339,0.5960161100483304,0.8827920952362166,1.6476046712903216,13.774454122791013,-8.360290768053936,28.22425469242281,0.6312779441576266,0.23255878361580065,0.32465455271732885,0.430469349085032,-0.30606601859599625,0.017944151180623317,0.025656513090634867,-0.15805204377678778
DDDD,2026-03-12,2026-03-13,1,-0.0996066727744771,0.0,0.0,-0.0996066727744771,,,,,,,-0.5660180081477395,,,,-0.5927132244948341,,,
TEST,2025-11-18,2026-03-13,114,-7.713609870908389,3.711,7.472965565864424,-0.7623848088049168,0.06573693613837117,0.10987386886064839,-0.16203227189177488,-2.4433534766854836,-15.079424908128525,30.060789649519908,0.6312779441576266,0.23255878361580065,0.32465455271732885,0.430469349085032,-0.30606601859599625,0.017944151180623317,0.025656513090634867,-0.15805204377678778
BRKC,2025-06-05,2026-03-13,281,-14.024597530110706,6.442,12.967772291814022,-1.2282063117005526,-0.05309887773888571,-0.06625095590465406,-0.2309432118113264,-1.5991471124238155,-6.924417045564734,13.430977979614617,12.647785244402797,1.4521661886481048,1.950685607843449,3.314185249695712,13.539234761944229,1.1801467563088204,1.5938796524769618,2.2860611250594935
ULTY,2024-02-29,2026-03-13,742,-83.50904400650538,158.313,81.81550387596899,-2.7227125487475745,0.08796655489989,0.12070235932505893,-0.05036045903702447,-1.3514593192845203,-26.835722809653937,27.48114363928858,33.57393802717035,0.9566836223296881,1.2263676557422776,0.8177656243206205,36.73740669199557,0.8437172857793798,1.118461694852682,0.7324142142859119
YQQQ,2024-08-15,2026-03-13,575,-35.95417351978476,5.798,29.521385846151933,-6.3202294574519975,-0.17570597439834132,-0.21482361739876799,-0.16375764231847476,-4.069313472688352,-24.84960955150037,16.210284264859908,21.93480738924802,0.8229142858290249,1.0505226316178715,0.7171413828248149,26.161037249737042,0.7992657853486718,1.0525953407062851,0.6999534524141643
MINY,2026-02-27,2026-03-13,13,-11.091074700858405,0.0,0.0,-11.091074700858405,,,,,,,-3.4548626866893417,,,,-2.2345185685919144,,,
GMEY,2025-09-09,2026-03-13,185,-33.40035591737984,11.611,23.02399351524162,-11.37563719621385,-0.7487972703886774,-1.1546874545031764,-0.8686996422261871,-21.315334281150854,-24.53705889244615,26.93040358209677,2.423165109578851,0.4580479284304787,0.5949532649492791,0.9598061540787309,2.52606520831562,0.3819948470897146,0.5139988928929521,0.6442406998957863
LFGY,2025-01-14,2026-03-13,422,-58.047962361118124,26.175,51.07416675338294,-12.041248144017668,-0.05204086282689456,-0.07074751870601523,-0.2931055573411421,-10.534049282771562,-35.939438945919086,42.21292772889636,15.09427137870114,0.7467270332826725,0.9671267665643453,0.6916193675725666,18.1458590957996,0.7490380098741942,0.9946117903978241,0.6836529149991458
CRCO,2025-09-30,2026-03-13,164,-42.410077870677966,12.498999999999999,25.399309556061013,-12.91398223690049,0.03629750817122968,0.06887968514515709,-0.43147486537330276,-26.64383930158194,-61.750617335566616,84.63596011164347,-0.29016214602919366,0.008553381725553654,0.011236935083392473,-0.12797857785693473,-0.9802413626899154,-0.04306637732899994,-0.05946992716673804,-0.27704509005936273
SLTY,2025-08-21,2026-03-13,204,-41.22945697319045,14.126999999999999,28.278318940055257,-12.96163041475874,-1.161534577113809,-1.9139599006032957,-1.10209777979903,-22.10243296697676,-20.054874777995824,19.822024708045216,4.805056160403831,0.7821032726185532,1.0345573089818974,1.7374143866682026,5.6622079478336085,0.6995343354839757,0.939940883262876,1.321976517534975
PYPY,2023-09-26,2026-03-13,899,-70.64788570611476,78.40700000000001,78.33258308985636,-16.847251522853057,-0.07700400476045015,-0.08333875401465088,-0.13478555236201026,-7.229299340446548,-53.635565635624836,31.512445305146436,60.001436199315265,1.305475505489462,1.6868807933728462,1.123244601393723,69.89711954101705,1.1781996567260344,1.5728297409169518,1.0566497303536653
ABNY,2024-06-25,2026-03-13,626,-59.40509199386783,45.246,44.7205323797753,-17.087671853369248,-0.20124778065943763,-0.22936266337093816,-0.32812549527577056,-10.37255670202688,-31.611553662751334,30.751593285384672,23.778948738484583,0.8113608848080294,1.035412379419556,0.7079231450833717,24.855689275357552,0.7045848486993759,0.9264332406775391,0.6083933988971387
YBIT,2024-04-23,2026-03-13,689,-75.5110015496065,69.89999999999999,68.36185819070903,-19.800814419145706,-0.0943159311305092,-0.12813342268036357,-0.24272583622448488,-11.054268289099811,-45.54219880769625,39.83225946448039,33.80013740121321,1.0139992168626015,1.2812137115600895,0.8913246922010643,41.03194851261618,0.9697532051625662,1.2668978459338238,0.8794994461902091
FIVY,2024-12-17,2026-03-13,450,-52.06789854774825,16.049999999999997,32.24186499312465,-25.638244943062826,-0.5567691851715019,-0.6973829436659249,-0.695183662437788,-21.41381249970462,-30.80310090230428,33.423940378217274,11.258270065270537,0.5626939571778208,0.7252323283952163,0.48339488269113495,11.551585814434272,0.5072636342227617,0.6753857482461944,0.4084642641763881
MSST,2025-11-18,2026-03-13,114,-31.357059304014644,2.93,5.514048483705069,-26.141201532444647,-0.8451661960628274,-1.3754116224991495,-1.5560453002137558,-62.44770894391052,-40.132320656302234,79.29447288265655,0.6312779441576266,0.23255878361580065,0.32465455271732885,0.430469349085032,-0.30606601859599625,0.017944151180623317,0.025656513090634867,-0.15805204377678778
FEAT,2024-12-17,2026-03-13,450,-62.293656725580604,21.551,43.35257917774244,-27.04424548822224,-0.6773422808911408,-0.8282716399871023,-0.7509366038606249,-22.62468073669166,-30.128616211243898,30.952479676391704,11.258270065270537,0.562693811342775,0.7252314285224292,0.48339501252524864,11.551585814434272,0.5072636342227617,0.6753857482461944,0.4084642641763881
SMCY,2024-09-12,2026-03-13,547,-85.30225165110757,29.863,58.99446983431237,-39.54112775936311,-0.07645482759838394,-0.09933644804144222,-0.47868957989834243,-28.582215393180476,-59.709290933908306,74.11880230430376,20.621857994932768,0.8122475519731476,1.0373737415164974,0.712481880802839,26.480971991980383,0.8420252919992122,1.1125147993433215,0.7474149757815626
RDYY,2025-09-09,2026-03-13,185,-61.1336410767464,13.690999999999999,26.695394819982297,-42.9346947070958,-1.7412460540608283,-2.4136610266728216,-1.3895511859767038,-67.16133697008846,-48.33311478402382,54.64890408098264,2.423165109578851,0.4580479284304787,0.5949532649492791,0.9598061540787309,2.52606520831562,0.3819948470897146,0.5139988928929521,0.6442406998957863
DRAY,2025-07-15,2026-03-13,241,-61.171442285644304,12.752,25.457159308544604,-43.47547441147967,-1.9111408549998252,-2.047154265649989,-1.121566767452198,-58.0303283284945,-51.740413511287265,40.56739010200647,7.064096224059724,0.9636528343250188,1.2806421741657488,2.1585293361535363,6.907264137931413,0.7287827197532729,0.9808970246674701,1.35775762909196
FIAT,2024-07-11,2026-03-13,610,-87.59405967032555,120.54599999999999,59.676237623762376,-43.716297545205705,-0.237081825784562,-0.2530509564955997,-0.41362017409307994,-29.15795700832229,-70.49452332023017,61.5776837967455,21.18762083487875,0.7505371596670013,0.9628705143455788,0.6513329308908482,21.67041110618857,0.645833046793737,0.8541287295215337,0.5482975980335266
DIPS,2024-07-24,2026-03-13,597,-75.73485181411029,85.177,41.1602391974057,-43.83978050230023,-0.7176949429522788,-0.9542711443584093,-0.5227084346878774,-29.783196740401042,-56.97860368024356,38.80454455583626,24.6022725445876,0.862997675567165,1.1053422749397823,0.7694107158799407,29.166819922812024,0.8283147160490894,1.1056387700473378,0.7458403398131619
RBLY,2025-07-29,2026-03-13,227,-62.274470011921366,13.818,28.006242127775156,-45.49887376343514,-1.632531373400669,-2.126239807562255,-1.1551988177750117,-62.50342548402556,-54.10620624111375,51.403050314680385,4.8528976218855435,0.7124450857755118,0.9623487078721733,1.5695131688599129,4.9208626078747875,0.5647170910112171,0.7743656990464789,1.024422833906557
HIYY,2025-09-23,2026-03-13,171,-64.75725098012035,9.825000000000001,20.332354383981084,-50.09683152711561,-1.2092503180529044,-1.9155374681410542,-1.0485322061728657,-77.53950159352236,-73.95051972370112,90.28501903623822,0.1563500898096981,0.08779626846907737,0.1153573345124354,0.06629876800388743,-0.6210477041054485,0.004461607680841591,0.006113266477350124,-0.16872404705318134
MRNY,2023-10-24,2026-03-13,871,-90.37831429999756,123.00299999999999,61.06791833888738,-50.40647775571604,-0.31150427570205924,-0.4069784434820267,-0.3104955206999237,-25.504336323669254,-82.14075445010283,51.63945648657551,60.85123250443469,1.3528400634698956,1.7393944595582025,1.177542932776267,67.56956629104297,1.1787587407347622,1.567252093759698,1.062902456470823
CRSH,2024-05-02,2026-03-13,680,-86.66799355920625,96.85600000000002,48.218251781951935,-51.42610159021335,-0.5514023743800133,-0.7004587411871734,-0.5055698753018256,-32.18764781944695,-63.666071480684835,48.81744350199521,33.96440010086565,1.0294395318740905,1.2983070388933635,0.9082057444671232,40.42740277368253,0.9699773686644423,1.2639829601006052,0.8800715894609297
MARO,2024-12-10,2026-03-13,457,-87.1234614971287,22.357999999999997,47.42893570106756,-60.21469609124486,-0.7725397886569759,-1.1355807184491196,-0.7277087027935362,-52.204926547416065,-71.73876902531359,66.90115084748456,11.533279514288264,0.5684606912915456,0.73337949001277,0.48714856252162847,14.808549892786438,0.604682113880051,0.8073427256864986,0.5137072471485066
AIYY,2023-11-28,2026-03-13,835,-94.70238096139147,114.881,56.98462129064224,-76.20385365763273,-0.9836376117969103,-1.2235421116670193,-0.5913554102173095,-46.67371819797776,-78.92667825737189,50.761739501015846,49.78438476359488,1.201809540672551,1.5397909583254852,1.032050336544789,54.230657208356845,1.0398504090589822,1.38422010827608,0.9177344933891761
