HorizonYears,Mode,PersonId,Person,FundsUsed,AssignmentsUsed,Start,End,TradingDays,Calmar,AnnualizedReturn,MaxDrawdown,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
2,full,PM::Daniel J. Lindquist,Daniel J. Lindquist,1,1,2024-03-13,2026-03-13,501,1.7742942956661718,0.12357636915907921,-0.06964818038412368,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Ken Miller,Ken Miller,2,2,2024-03-13,2026-03-13,501,1.568343793616481,0.13463129084028247,-0.08584297102986138,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Christopher W. Floyd,Christopher W. Floyd,1,1,2024-03-13,2026-03-13,501,1.436352574917317,0.09560136000429909,-0.0665584214306173,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Sundaram Chettiappan,Sundaram Chettiappan,1,1,2024-03-13,2026-03-13,501,1.436352574917302,0.09560136000429842,-0.06655842143061752,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Vaneet Chadha,Vaneet Chadha,1,1,2024-03-13,2026-03-13,501,1.436352574917302,0.09560136000429842,-0.06655842143061752,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Ryland Matthews,Ryland Matthews,1,1,2024-03-13,2026-03-13,501,1.4301905720787222,0.221036101722609,-0.1545501040475622,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Kevin G. Simpson,Kevin G. Simpson,2,2,2024-03-13,2026-03-13,501,1.4153816968377853,0.18736030664805714,-0.1323744026552367,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Michael Green,Michael Green,1,1,2024-03-13,2026-03-13,501,1.3341009280686267,0.14982690910405783,-0.1123055279790276,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Ammie Weidner,Ammie Weidner,1,1,2024-03-13,2026-03-13,501,1.2578768647166294,0.11451764698267208,-0.09104042708383087,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Andrew Mies,Andrew Mies,1,1,2024-03-13,2026-03-13,501,1.2578768647166294,0.11451764698267208,-0.09104042708383087,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Jeffrey E. Gundlach,Jeffrey E. Gundlach,1,1,2024-03-13,2026-03-13,501,1.2538371650735622,0.05155358017202172,-0.04111664704802165,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Jeffrey J. Sherman,Jeffrey J. Sherman,1,1,2024-03-13,2026-03-13,501,1.2538371650735622,0.05155358017202172,-0.04111664704802165,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Josh L. Smith,Josh L. Smith,1,1,2024-03-13,2026-03-13,501,1.2443364177150829,0.15084618826314466,-0.12122621030423308,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Patrick Dwyer,Patrick Dwyer,6,6,2024-03-13,2026-03-13,501,1.202651486833534,0.17762110235315487,-0.14769125078855072,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Shlomo Bassous,Shlomo Bassous,6,6,2024-03-13,2026-03-13,501,1.202651486833532,0.17762110235315487,-0.14769125078855094,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Ashif Shaikh,Ashif Shaikh,6,6,2024-03-13,2026-03-13,501,1.2026514868335294,0.1776211023531542,-0.14769125078855072,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Nam To,Nam To,1,1,2024-03-13,2026-03-13,501,1.1406136508114786,0.11499554233439646,-0.10081901286433315,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Marlene Walker-Smith,Marlene Walker-Smith,2,2,2024-03-13,2026-03-13,501,1.0678310457802949,0.1715516531969168,-0.1606543037635313,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::David France,David France,3,3,2024-03-13,2026-03-13,501,1.0285511037510495,0.12572287477098243,-0.1222329880474392,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Todd Frysinger,Todd Frysinger,3,3,2024-03-13,2026-03-13,501,1.0285511037510495,0.12572287477098243,-0.1222329880474392,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::R. Matthew Freund,R. Matthew Freund,1,1,2024-03-13,2026-03-13,501,0.9853440786113943,0.13057992273341656,-0.13252215704938075,0.7881149143201435,0.7412536460068084,True,True,True
