Universe,HorizonYears,Mode,Ticker,Name,Provider,Manager,Start,End,TradingDays,AnnualizedReturn,MaxDrawdown,Calmar,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
ManagerEquity,3,full,APO,"Apollo Global Management, Inc.",,Apollo Global Management,2023-03-13,2026-03-13,753,0.2347385601144092,-0.42821270721355864,0.5481821444344485,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,BAM,Brookfield Asset Management Ltd.,,Brookfield Asset Management,2023-03-13,2026-03-13,753,0.1555357596218816,-0.3026980462321268,0.5138313958677075,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,GCMG,GCM Grosvenor Inc.,,GCM Grosvenor,2023-03-13,2026-03-13,753,0.14793034961430251,-0.28841012064011373,0.5129166385908287,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,CG,The Carlyle Group Inc.,,Carlyle Group,2023-03-13,2026-03-13,753,0.18847174085946605,-0.3852592394461818,0.4892075817062768,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,AB,AllianceBernstein Holding L.P.,,AllianceBernstein,2023-03-13,2026-03-13,753,0.1120692906470746,-0.24570080874694966,0.45612096768674526,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,KKR,KKR & Co. Inc.,,KKR,2023-03-13,2026-03-13,753,0.20902221391021536,-0.49416214536016423,0.42298305500084793,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,TPG,TPG Inc.,,TPG,2023-03-13,2026-03-13,753,0.18223024933921916,-0.4383113736615395,0.4157552376907652,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,ARES,Ares Management Corporation,,Ares Management,2023-03-13,2026-03-13,753,0.15130832194372346,-0.49971751336452097,0.3027877108508522,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,BX,Blackstone Inc.,,Blackstone,2023-03-13,2026-03-13,753,0.1202316545224309,-0.4649715998800844,0.2585784907152146,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,MNGPF,Man Group Plc,,Man Group,2023-03-13,2026-03-13,753,0.0963266929621287,-0.3915758828505216,0.24599751205540923,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,OWL,Blue Owl Capital Inc.,,Blue Owl Capital,2023-03-13,2026-03-13,753,-0.0030825858828220642,-0.6558140008321542,-0.004700396574197271,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,EMG.L,Man Group Plc,,Man Group,2023-03-13,2026-03-13,759,-0.020335155603878996,-0.4424048593799651,-0.04596503671406079,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,BHMG.L,BH Macro Limited,,Brevan Howard,2023-03-13,2026-03-13,759,-0.015497069942095765,-0.2822757111597378,-0.054900472585563985,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,4,full,AMG,"Affiliated Managers Group, Inc.",,Affiliated Managers Group,2022-03-14,2026-03-13,1003,0.20855439364886652,-0.3133479372115472,0.6655681077870554,0.6293578531790636,0.599138774580446,True,True,True
ManagerEquity,4,full,TFG.L,Tetragon Financial Group Limited,,Tetragon,2022-03-14,2026-03-13,1009,0.17046134833454385,-0.25901213392199673,0.6581210916778109,0.6293578531790636,0.599138774580446,True,True,True
ManagerEquity,4,full,MNGPF,Man Group Plc,,Man Group,2022-03-14,2026-03-13,1003,0.19643149907248114,-0.3915758828505219,0.5016435068537299,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,PSHZF,"Pershing Square Holdings, Ltd.",,Pershing Square,2022-03-14,2026-03-13,1003,0.14189471842604862,-0.28699280681489625,0.4944190762159675,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,APO,"Apollo Global Management, Inc.",,Apollo Global Management,2022-03-14,2026-03-13,1003,0.17445061189988365,-0.42821270721355953,0.40739242194622943,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,TPG,TPG Inc.,,TPG,2022-03-14,2026-03-13,1003,0.15453061069757879,-0.4383113736615395,0.3525589797195317,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,KKR,KKR & Co. Inc.,,KKR,2022-03-14,2026-03-13,1003,0.15066512243638752,-0.49416214536016434,0.30489005248788736,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,STEP,StepStone Group Inc.,,StepStone Group,2022-03-14,2026-03-13,1003,0.13090087518867377,-0.43098654762671507,0.3037238074123123,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,ARES,Ares Management Corporation,,Ares Management,2022-03-14,2026-03-13,1003,0.1325030464480179,-0.4997175133645205,0.26515589889154667,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,BN,Brookfield Corporation,,Brookfield Corporation,2022-03-14,2026-03-13,1003,0.09042323690589638,-0.3877257494765012,0.23321442289552305,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,AB,AllianceBernstein Holding L.P.,,AllianceBernstein,2022-03-14,2026-03-13,1003,0.05850068591511759,-0.3780073993265224,0.15476068992126993,0.6293578531790636,0.599138774580446,False,False,False
ManagerEquity,4,full,GCMG,GCM Grosvenor Inc.,,GCM Grosvenor,2022-03-14,2026-03-13,1003,0.050148637941865415,-0.394486964653995,0.12712368832225127,0.6293578531790636,0.599138774580446,False,False,False
